City,group
Changzhou,Hub & Deve.
Changde,Non-hub & Undeve.
Pingliang,Hub & Undeve.
Pingdingshan,Hub & Undeve.
Guangyuan,Non-hub & Undeve.
Guang'an,Non-hub & Undeve.
Guangzhou,Hub & Deve.
Qingyang,Hub & Undeve.
Langfang,Hub & Deve.
Yan'an,Non-hub & Undeve.
Yanbian,Non-hub & Undeve.
Kaifeng,Hub & Undeve.
Zhangjiakou,Non-hub & Undeve.
Zhangjiajie,Non-hub & Undeve.
Zhangye,Non-hub & Undeve.
Xuzhou,Hub & Deve.
Dehong,Non-hub & Undeve.
Dezhou,Hub & Undeve.
Deyang,Hub & Undeve.
Xinzhou,Non-hub & Undeve.
Huaihua,Non-hub & Undeve.
Nujiang,Non-hub & Undeve.
Enshi,Non-hub & Undeve.
Huizhou,Hub & Deve.
Chengdu,Hub & Deve.
Yangzhou,Hub & Deve.
Chengde,Non-hub & Undeve.
Fuzhou,Hub & Undeve.
Fushun,Non-hub & Undeve.
Lhasa,Non-hub & Undeve.
Jieyang,Hub & Deve.
Panzhihua,Non-hub & Undeve.
Wenshan,Non-hub & Undeve.
Wenchang,Non-hub & Undeve.
Xinxiang,Hub & Deve.
Xinyu,Hub & Undeve.
Wuxi,Hub & Deve.
Shigatse,Non-hub & Undeve.
Rizhao,Non-hub & Undeve.
Kunming,Non-hub & Deve.
Kunyu,Non-hub & Undeve.
Changji,Non-hub & Undeve.
Changjiang,Non-hub & Undeve.
Changdu,Non-hub & Undeve.
Zhaotong,Non-hub & Undeve.
Jinzhong,Non-hub & Undeve.
Jincheng,Non-hub & Undeve.
Pu'er,Non-hub & Undeve.
Jingdezhen,Non-hub & Undeve.
Qujing,Non-hub & Undeve.
Shuozhou,Non-hub & Undeve.
Chaoyang,Non-hub & Undeve.
Benxi,Non-hub & Undeve.
Laibin,Non-hub & Undeve.
Hangzhou,Hub & Deve.
Songyuan,Non-hub & Undeve.
Linzhi,Non-hub & Undeve.
Guoluo,Non-hub & Undeve.
Zaozhuang,Non-hub & Undeve.
Liuzhou,Non-hub & Deve.
Zhuzhou,Non-hub & Deve.
Guilin,Non-hub & Deve.
Meizhou,Hub & Undeve.
Wuzhou,Non-hub & Undeve.
Chuxiong,Non-hub & Undeve.
Yulin,Non-hub & Undeve.
Wuwei,Non-hub & Undeve.
Wuhan,Hub & Deve.
Bijie,Non-hub & Undeve.
Yongzhou,Non-hub & Undeve.
Hanzhong,Non-hub & Undeve.
Shantou,Hub & Deve.
Shanwei,Non-hub & Undeve.
Jiangmen,Hub & Deve.
Chizhou,Non-hub & Undeve.
Shenyang,Hub & Deve.
Cangzhou,Hub & Deve.
Hechi,Non-hub & Undeve.
Heyuan,Hub & Undeve.
Quanzhou,Hub & Deve.
Tai'an,Hub & Deve.
Taizhou,Non-hub & Deve.
Luzhou,Non-hub & Undeve.
Luoyang,Non-hub & Deve.
Jinan,Hub & Deve.
Jining,Non-hub & Deve.
Jiyuan,Non-hub & Undeve.
Haidong,Non-hub & Undeve.
Haibei,Non-hub & Undeve.
Hainan,Non-hub & Undeve.
Haikou,Non-hub & Deve.
Haixi,Non-hub & Undeve.
Zibo,Hub & Deve.
Huaibei,Non-hub & Undeve.
Huainan,Non-hub & Undeve.
Huai'an,Hub & Deve.
Shenzhen,Non-hub & Deve.
Qingyuan,Hub & Deve.
Wenzhou,Non-hub & Deve.
Weinan,Non-hub & Undeve.
Huzhou,Hub & Deve.
Xiangtan,Hub & Undeve.
Xiangxi,Non-hub & Undeve.
Zhanjiang,Non-hub & Deve.
Chuzhou,Hub & Deve.
Binzhou,Hub & Undeve.
Luohe,Hub & Undeve.
Zhangzhou,Hub & Deve.
Weifang,Hub & Deve.
Qianjiang,Non-hub & Undeve.
Chaozhou,Hub & Deve.
Chengmai,Non-hub & Undeve.
Puyang,Non-hub & Undeve.
Yantai,Non-hub & Deve.
Jiaozuo,Non-hub & Undeve.
Mudanjiang,Non-hub & Undeve.
Yulin,Non-hub & Undeve.
Yushu,Non-hub & Undeve.
Yuxi,Non-hub & Undeve.
Zhuhai,Non-hub & Deve.
Qiongzhong,Non-hub & Undeve.
Qionghai,Non-hub & Undeve.
Gannan,Non-hub & Undeve.
Ganzi,Non-hub & Undeve.
Baicheng,Non-hub & Undeve.
Baishan,Non-hub & Undeve.
Baisha,Non-hub & Undeve.
Baiyin,Non-hub & Undeve.
Baise,Non-hub & Undeve.
Yiyang,Non-hub & Undeve.
Yancheng,Non-hub & Deve.
Panjin,Hub & Undeve.
Meishan,Hub & Undeve.
Shizuishan,Non-hub & Undeve.
Shijiazhuang,Non-hub & Deve.
Shihezi,Non-hub & Undeve.
Shennongjia,Non-hub & Undeve.
Fuzhou,Non-hub & Deve.
Qinhuangdao,Hub & Deve.
Honghe,Non-hub & Undeve.
Shaoxing,Hub & Deve.
Suihua,Non-hub & Undeve.
Mianyang,Non-hub & Deve.
Liaocheng,Hub & Undeve.
Zhaoqing,Hub & Deve.
Huyanghe,Non-hub & Undeve.
Zigong,Non-hub & Undeve.
Zhoushan,Non-hub & Deve.
Wuhu,Non-hub & Deve.
Suzhou,Hub & Deve.
Maoming,Hub & Undeve.
Jingzhou,Hub & Deve.
Jingmen,Hub & Undeve.
Putian,Non-hub & Deve.
Heze,Non-hub & Deve.
Pingxiang,Non-hub & Undeve.
Yingkou,Non-hub & Undeve.
Huludao,Hub & Undeve.
Bengbu,Non-hub & Deve.
Hengshui,Hub & Undeve.
Hengyang,Hub & Deve.
Quzhou,Hub & Undeve.
Xiangyang,Non-hub & Deve.
Xishuangbanna,Non-hub & Undeve.
Xining,Non-hub & Undeve.
Xi'an,Hub & Deve.
Xuchang,Hub & Undeve.
Guigang,Non-hub & Undeve.
Guiyang,Non-hub & Deve.
Hezhou,Non-hub & Undeve.
Ziyang,Hub & Undeve.
Ganzhou,Hub & Deve.
Chifeng,Non-hub & Undeve.
Liaoyuan,Non-hub & Undeve.
Liaoyang,Non-hub & Undeve.
Dazhou,Non-hub & Undeve.
Yuncheng,Non-hub & Undeve.
Lianyungang,Non-hub & Deve.
Diqing,Non-hub & Undeve.
Tonghua,Non-hub & Undeve.
Tongliao,Non-hub & Undeve.
Suining,Non-hub & Undeve.
Zunyi,Non-hub & Deve.
Xingtai,Hub & Deve.
Naqu,Non-hub & Undeve.
Handan,Hub & Deve.
Shaoyang,Non-hub & Undeve.
Zhengzhou,Hub & Deve.
Chenzhou,Hub & Undeve.
Ordos,Non-hub & Undeve.
Ezhou,Hub & Undeve.
Jiuquan,Non-hub & Undeve.
Chongqing,Hub & Deve.
Jinhua,Hub & Deve.
Jinchang,Non-hub & Undeve.
Qinzhou,Non-hub & Undeve.
Tieling,Hub & Undeve.
Tiemenguan,Non-hub & Undeve.
Tongren,Non-hub & Undeve.
Tongchuan,Non-hub & Undeve.
Tongling,Non-hub & Undeve.
Yinchuan,Non-hub & Deve.
Xilin Gol,Non-hub & Undeve.
Jinzhou,Hub & Undeve.
Zhenjiang,Hub & Deve.
Changchun,Hub & Deve.
Changsha,Hub & Deve.
Changzhi,Non-hub & Undeve.
Fuxin,Non-hub & Undeve.
Fuyang,Non-hub & Deve.
Fangchenggang,Non-hub & Undeve.
Yangjiang,Non-hub & Undeve.
Yangquan,Non-hub & Undeve.
Aksu,Non-hub & Undeve.
Altai,Non-hub & Undeve.
Aba,Non-hub & Undeve.
Alxa,Non-hub & Undeve.
Alaer,Non-hub & Undeve.
Ali,Non-hub & Undeve.
Longnan,Non-hub & Undeve.
Lingshui,Non-hub & Undeve.
Suizhou,Hub & Undeve.
Ya'an,Non-hub & Undeve.
Qingdao,Hub & Deve.
Anshan,Hub & Deve.
Shaoguan,Hub & Undeve.
Ma'anshan,Hub & Deve.
Zhumadian,Hub & Deve.
Jixi,Non-hub & Undeve.
Hebi,Non-hub & Undeve.
Hegang,Non-hub & Undeve.
Yingtan,Hub & Undeve.
Huanggang,Hub & Deve.
Huangnan,Non-hub & Undeve.
Huangshan,Non-hub & Undeve.
Huangshi,Hub & Undeve.
Heihe,Non-hub & Undeve.
Qiandongnan,Non-hub & Undeve.
Qiannan,Non-hub & Undeve.
Qianxinan,Non-hub & Undeve.
Qiqihar,Non-hub & Undeve.
Longyan,Non-hub & Undeve.
