City,Jan.,Feb.,Mar.,Apr.,May.,Jun.,Jul.,Aug.,Sep.,Oct.,Nov.,Dec.
Benxi,221032,168710,191494,183831,196671,263929,200868,216167,238696,242667,301905,241027
Laibin,170496,110069,113996,114699,131444,153487,114222,124846,141852,138124,165991,144831
Hangzhou,1674285,1590992,1650132,1495347,1529899,2329363,1518484,1541941,1710137,1718577,2675419,1742756
Songyuan,192847,125070,138965,131880,144218,190323,146122,173932,174864,167310,203789,165305
Linzhi,16054,28800,51288,45895,46919,52112,39120,48596,51011,51132,55945,37503
Guoluo,1376,2417,2728,2417,2532,3043,2577,2564,2825,2867,3974,2773
Zaozhuang,505674,306301,352921,345378,372717,508649,331645,378637,482533,424250,591455,405375
Liuzhou,299427,217995,234663,219399,226813,333839,217270,227389,265008,257690,375867,262697
Zhuzhou,464569,334715,354378,343796,387300,513658,369784,394459,462536,456393,617713,498716
Guilin,630134,426735,466050,440392,471543,640838,456270,492067,563805,555844,730361,553652
Meizhou,947431,437314,473652,473590,520724,728247,492024,539748,648018,618660,811005,615557
Wuzhou,386236,246783,259834,248661,272218,355151,259662,290698,319055,306240,388355,325580
Chuxiong,123768,81655,88114,86327,83963,120612,83617,86448,98653,95005,116784,102758
Yulin,317218,288144,312258,283970,309379,407833,316555,344824,373880,368315,486159,386421
Wuwei,98572,69624,67548,64330,67932,89809,73527,79690,87686,82352,113024,88238
Wuhan,757721,604308,614898,583246,566653,889054,529258,499704,604534,590257,1020784,713955
Bijie,181933,150237,145091,135509,144664,185035,157119,171884,162444,162878,203911,173558
Yongzhou,455759,281222,291635,265914,295463,395054,276499,308732,381281,362840,486906,370975
Hanzhong,310326,200113,196498,180873,195069,253270,211137,215079,244056,225633,284746,234676
Shantou,1134536,707392,803927,788226,856186,1247114,809756,908611,1110615,1042674,1409907,1029225
Shanwei,685591,372302,419390,418573,444251,624339,451783,495166,564138,544734,691577,531244
Jiangmen,1163651,885217,996460,962172,1033870,1385718,961758,1050184,1185315,1152170,1517606,1245318
Chizhou,174721,113414,106486,100785,108654,148225,107538,114639,138863,135252,172918,146865
Shenyang,577948,404117,438245,378137,408204,609712,342617,339141,390806,440639,646387,410036
Cangzhou,1114647,733415,808823,756232,844008,1091399,813823,896147,1025682,966016,1231797,999827
Hechi,236463,158895,161707,154562,164373,202064,163344,175419,194954,186893,229725,192488
Heyuan,635384,365792,403691,398462,432759,549555,402490,450501,529368,494125,630777,540401
